,Cell1,Cell2,Cell3,Cell4,Cell5,Cell6,Cell7,Cell8,Cell9,Cell10,Cell11,Cell12,Cell13,Cell14,Cell15,Cell16,Cell17,Cell18,Cell19,Cell20,Cell21,Cell22,Cell1,Cell2,Cell3,Cell4,Cell5,Cell6,Cell7,Cell8,Cell9,Cell10,Cell11,Cell12,Cell13,Cell14,Cell15,Cell16,Cell17,Cell18,Cell19
Cell14,0.000276685,0.020336507,0.092069353,0.062935286,0.100938616,0.094365885,0.058482089,0.178954449,0.096036042,0.052723392,0.009807809,0.116927519,0.136862458,1,0.094246375,0.114467088,0.10129436,0.020531478,0.112876574,0.07138432,0.049549891,0.094078862,0.162098138,0.113474793,0.125324186,0.077296617,0.075804534,0.101250879,0.180321504,0.224417412,0.05071167,0.071815238,0.064920893,0.048178893,0.101986904,0.151327071,0.055334733,0.207892914,0.108025147,0.186197552,0.070090054
Cell15,0.306941532,0.066295455,0.086081058,0.363062397,0.305340632,0.360050257,0.144094272,0.123923653,0.336588823,0.217408689,0.302646022,0.336645852,0.100828241,0.094246375,1,0.304922329,0.123516511,0.280682997,0.033362368,0.305903727,0.29897863,0.281961613,0.31895021,0.318708292,0.283172525,0.306594791,0.041966386,0.231735571,0.145006337,0.271695653,0.121234793,0.305412591,0.210908112,0.307919458,0.275711152,0.278366772,0.208652572,0.09751605,0.292754749,0.070986316,0.318460375
Cell16,0.453746197,0.285103601,0.226941259,0.516111745,0.10539035,0.587198953,0.148856676,0.022067231,0.490551931,0.414655712,0.661097425,0.458867939,0.786560322,0.114467088,0.304922329,1,0.725711274,0.419963689,0.050648573,0.52576302,0.014714599,0.015726515,0.459918757,0.454753242,0.383481682,0.578292548,0.393645402,0.233330787,0.418380907,0.521628568,0.138990145,0.559085233,0.509156415,0.601839271,0.042110388,0.335351273,0.184002882,0.342347043,0.358162812,0.022324863,0.537083983
Cell17,0.236049335,0.211416617,0.391435704,0.269573395,0.180520788,0.345429111,0.067692006,0.161489268,0.265134805,0.249464324,0.499948403,0.190065627,0.602409232,0.10129436,0.123516511,0.725711274,1,0.213879739,0.034279111,0.292934439,0.141638249,0.084857529,0.232908573,0.215939949,0.262093653,0.33242363,0.329633038,0.106399644,0.467768143,0.260223091,0.075487112,0.303558705,0.295182671,0.424652263,0.093090915,0.191623632,0.068415729,0.489920466,0.176683852,0.164516235,0.324017217
Cell18,0.171021998,0.22340187,0.398581013,0.507820502,0.256569438,0.608026353,0.291603956,0.11804942,0.591410722,0.584360342,0.411562056,0.57077075,0.43553923,0.020531478,0.280682997,0.419963689,0.213879739,1,0.035332587,0.575147938,0.02791454,0.060584444,0.510963359,0.526649263,0.311955368,0.580874056,0.112460857,0.367821224,0.058358237,0.595857204,0.220271337,0.641635554,0.727232146,0.509144804,0.254804037,0.366992591,0.1250512,0.103622354,0.494525392,0.04990357,0.542214218
Cell19,0.101925299,0.068621621,0.013545365,0.035312275,0.128918782,0.094175765,0.022561949,0.128388538,0.090400977,0.056296889,0.060650956,0.09969347,0.011919849,0.112876574,0.033362368,0.050648573,0.034279111,0.035332587,1,0.128739739,0.067055543,0.010330694,0.107562624,0.117215538,0.05326965,0.102285036,0.274305431,0.126802512,0.081992163,0.125341291,0.253581701,0.088868916,0.079971174,0.0800605,0.034254617,0.06507242,0.072837979,0.020722177,0.111461081,0.042427976,0.102039968
Cell20,0.348121366,0.142937006,0.491443394,0.864612908,0.044698297,0.913607593,0.49693157,0.153764902,0.859243414,0.609524874,0.797879735,0.873815117,0.487176179,0.07138432,0.305903727,0.52576302,0.292934439,0.575147938,0.128739739,1,0.089713715,0.106162819,0.922205015,0.941901665,0.666187014,0.970380342,0.179659724,0.765500241,0.21635216,0.913523233,0.485867979,0.770213742,0.770858181,0.941590361,0.329713356,0.816495344,0.258604906,0.206487071,0.913204667,0.121820325,0.94424736
Cell21,0.026520967,0.010683615,0.091636765,0.096340476,0.215772103,0.039336652,0.021556035,0.158024881,0.013551506,0.057840515,0.004514774,0.126939273,0.157910825,0.049549891,0.29897863,0.014714599,0.141638249,0.02791454,0.067055543,0.089713715,1,0.013536254,0.089517408,0.090073476,0.062994524,0.07582974,0.072050774,0.043057309,0.085096612,0.057726391,0.030673625,0.101007454,0.019510232,0.065685123,0.114486624,0.067657558,0.037127027,0.079557223,0.069949598,0.058316756,0.071109892
Cell22,0.093615484,0.16260871,0.123755388,0.127879048,0.174116153,0.131883666,0.089633783,0.048104457,0.142404577,0.013534918,0.217179079,0.161494303,0.007643446,0.094078862,0.281961613,0.015726515,0.084857529,0.060584444,0.010330694,0.106162819,0.013536254,1,0.191966084,0.165209996,0.299218537,0.120067604,0.127000086,0.161404645,0.192317864,0.01747867,0.078189014,0.035683715,0.022024307,0.183316281,0.318807237,0.228745905,0.28786718,0.179953578,0.121378815,0.13881215,0.180864394
Cell1,0.397555028,0.020285538,0.3750901,0.902657128,0.044478606,0.926419298,0.576318447,0.144426332,0.908291255,0.673164437,0.84045265,0.919899824,0.44152898,0.162098138,0.31895021,0.459918757,0.232908573,0.510963359,0.107562624,0.922205015,0.089517408,0.191966084,1,0.988609026,0.871754674,0.961031514,0.127682173,0.869834194,0.433788791,0.805814665,0.489763417,0.598693148,0.718958542,0.932267896,0.517811425,0.949164328,0.535585459,0.07560564,0.935333078,0.274607844,0.975150073
Cell2,0.376143013,0.047834896,0.420561043,0.907366732,0.040855381,0.931560614,0.579916159,0.138707305,0.912340303,0.671540121,0.81011222,0.932635849,0.43738649,0.113474793,0.318708292,0.454753242,0.215939949,0.526649263,0.117215538,0.941901665,0.090073476,0.165209996,0.988609026,1,0.821905496,0.977839507,0.130483369,0.868658659,0.430110128,0.824321025,0.520018559,0.645045922,0.740214784,0.92338425,0.497135568,0.922067251,0.478816475,0.037273044,0.950485186,0.251003651,0.985736679
Cell3,0.423003081,0.148386243,0.129421112,0.781381426,0.038115761,0.774103438,0.563597834,0.103731059,0.800309565,0.624636481,0.843375721,0.719258008,0.415690005,0.125324186,0.283172525,0.383481682,0.262093653,0.311955368,0.05326965,0.666187014,0.062994524,0.299218537,0.871754674,0.821905496,1,0.750939315,0.104309733,0.851878393,0.543048997,0.44962573,0.430953216,0.206820008,0.472941162,0.813605502,0.492473228,0.931268718,0.755076922,0.218291776,0.78551857,0.251989262,0.822387309
Cell4,0.396835624,0.131859739,0.479140738,0.905277281,0.06573635,0.947193262,0.518062227,0.122080441,0.8993715,0.672463989,0.831009539,0.925298706,0.549059706,0.077296617,0.306594791,0.578292548,0.33242363,0.580874056,0.102285036,0.970380342,0.07582974,0.120067604,0.961031514,0.977839507,0.750939315,1,0.201146599,0.791540107,0.250662027,0.882357377,0.473409283,0.74788358,0.798395305,0.944345405,0.440159784,0.860877104,0.392685969,0.078675049,0.911083321,0.238519621,0.984083924
Cell5,0.24121751,0.15842758,0.170133313,0.130935432,0.129265855,0.146911847,0.028926271,0.140787476,0.098119042,0.033330869,0.198560067,0.119842705,0.399283906,0.075804534,0.041966386,0.393645402,0.329633038,0.112460857,0.274305431,0.179659724,0.072050774,0.127000086,0.127682173,0.130483369,0.104309733,0.201146599,1,0.051558002,0.211209991,0.168196743,0.041998614,0.208442137,0.189200035,0.214095301,0.023988905,0.082037002,0.004025977,0.24015365,0.100915444,0.073220742,0.172314677
Cell6,0.262869582,0.154158158,0.267090875,0.803289652,0.063222706,0.780810925,0.710979765,0.227359162,0.820614626,0.584248728,0.706366197,0.75135307,0.233510062,0.101250879,0.231735571,0.233330787,0.106399644,0.367821224,0.126802512,0.765500241,0.043057309,0.161404645,0.869834194,0.868658659,0.851878393,0.791540107,0.051558002,1,0.680662641,0.541358457,0.629785812,0.290657721,0.539596733,0.782672096,0.310551172,0.888245687,0.598861817,0.114720694,0.929572232,0.050217863,0.850130695
Cell7,0.03698674,0.399754637,0.078497088,0.276560199,0.101812419,0.238442847,0.473249365,0.210893298,0.355579123,0.204880783,0.112530515,0.306012171,0.421346219,0.180321504,0.145006337,0.418380907,0.467768143,0.058358237,0.081992163,0.21635216,0.085096612,0.192317864,0.433788791,0.430110128,0.543048997,0.250662027,0.211209991,0.680662641,1,0.028946534,0.472234416,0.243005266,0.033857355,0.202589958,0.32557983,0.544376787,0.521478378,0.544947795,0.517167182,0.169132796,0.351698596
Cell8,0.33121236,0.244175854,0.491011075,0.73837219,0.092060368,0.821082923,0.357192573,0.127507534,0.735881892,0.529442837,0.628522126,0.822186289,0.449998593,0.224417412,0.271695653,0.521628568,0.260223091,0.595857204,0.125341291,0.913523233,0.057726391,0.01747867,0.805814665,0.824321025,0.44962573,0.882357377,0.168196743,0.541358457,0.028946534,1,0.384296935,0.890315644,0.783121218,0.794572137,0.327361079,0.631652874,0.074433617,0.203614727,0.763234183,0.179837197,0.820177192
Cell9,0.124742634,0.03664876,0.156776145,0.426546399,0.020064812,0.453143123,0.551498608,0.156507568,0.51585149,0.35317958,0.343516956,0.471659207,0.152129347,0.05071167,0.121234793,0.138990145,0.075487112,0.220271337,0.253581701,0.485867979,0.030673625,0.078189014,0.489763417,0.520018559,0.430953216,0.473409283,0.041998614,0.629785812,0.472234416,0.384296935,1,0.25128569,0.380077758,0.437207271,0.096951885,0.485186355,0.163332801,0.049944796,0.630730762,0.229680223,0.514874695
Cell10,0.233636621,0.36840583,0.534328148,0.609851716,0.13337624,0.685909046,0.200866277,0.137312411,0.581263191,0.438810282,0.464862477,0.717816338,0.495663301,0.071815238,0.305412591,0.559085233,0.303558705,0.641635554,0.088868916,0.770213742,0.101007454,0.035683715,0.598693148,0.645045922,0.206820008,0.74788358,0.208442137,0.290657721,0.243005266,0.890315644,0.25128569,1,0.729667025,0.639377224,0.239815525,0.408535736,0.143388969,0.34987856,0.559759945,0.07782118,0.657995346
Cell11,0.31733038,0.326581172,0.439119496,0.713746569,0.166134041,0.809831942,0.361625191,0.130372517,0.799343655,0.713142451,0.578671469,0.766598942,0.492070164,0.064920893,0.210908112,0.509156415,0.295182671,0.727232146,0.079971174,0.770858181,0.019510232,0.022024307,0.718958542,0.740214784,0.472941162,0.798395305,0.189200035,0.539596733,0.033857355,0.783121218,0.380077758,0.729667025,1,0.695655717,0.35103508,0.545625941,0.288762202,0.029884507,0.670496847,0.231689309,0.750646082
Cell12,0.444660808,0.097709521,0.394453858,0.884036956,0.062958267,0.922892586,0.498445297,0.11463438,0.876606824,0.650349506,0.921760152,0.841915282,0.60517378,0.048178893,0.307919458,0.601839271,0.424652263,0.509144804,0.0800605,0.941590361,0.065685123,0.183316281,0.932267896,0.92338425,0.813605502,0.944345405,0.214095301,0.782672096,0.202589958,0.794572137,0.437207271,0.639377224,0.695655717,1,0.3277887,0.890113097,0.382140681,0.215728016,0.887082693,0.094677168,0.945359115
Cell13,0.131511957,0.005388275,0.305267705,0.419058768,0.059149875,0.431092675,0.146298637,0.059738108,0.410080581,0.360402645,0.330924649,0.510044403,0.055495457,0.101986904,0.275711152,0.042110388,0.093090915,0.254804037,0.034254617,0.329713356,0.114486624,0.318807237,0.517811425,0.497135568,0.492473228,0.440159784,0.023988905,0.310551172,0.32557983,0.327361079,0.096951885,0.239815525,0.35103508,0.3277887,1,0.466869626,0.608126697,0.564304999,0.299045796,0.730316246,0.462175992
Cell14,0.381091536,0.109942899,0.251858769,0.829196205,0.048135851,0.830812713,0.560998612,0.144100612,0.839991006,0.60625197,0.819018545,0.814322324,0.367423186,0.151327071,0.278366772,0.335351273,0.191623632,0.366992591,0.06507242,0.816495344,0.067657558,0.228745905,0.949164328,0.922067251,0.931268718,0.860877104,0.082037002,0.888245687,0.544376787,0.631652874,0.485186355,0.408535736,0.545625941,0.890113097,0.466869626,1,0.557830947,0.087347183,0.899846845,0.203906628,0.905510287
Cell15,0.303617317,0.193817074,0.016764616,0.511821,0.038515141,0.459918343,0.403207308,0.064236451,0.510596084,0.466697928,0.495504477,0.405198697,0.173916745,0.055334733,0.208652572,0.184002882,0.068415729,0.1250512,0.072837979,0.258604906,0.037127027,0.28786718,0.535585459,0.478816475,0.755076922,0.392685969,0.004025977,0.598861817,0.521478378,0.074433617,0.163332801,0.143388969,0.288762202,0.382140681,0.608126697,0.557830947,1,0.629119183,0.388466711,0.503427021,0.473578968
Cell16,0.038168843,0.287976117,0.205233395,5.27E-05,0.104133491,0.056137716,0.057542673,0.117765675,0.024523824,0.09409968,0.141229216,0.090929602,0.347663176,0.207892914,0.09751605,0.342347043,0.489920466,0.103622354,0.020722177,0.206487071,0.079557223,0.179953578,0.07560564,0.037273044,0.218291776,0.078675049,0.24015365,0.114720694,0.544947795,0.203614727,0.049944796,0.34987856,0.029884507,0.215728016,0.564304999,0.087347183,0.629119183,1,0.066430068,0.683962301,0.031584485
Cell17,0.317013173,0.004440303,0.379316795,0.859376343,0.01036493,0.871324567,0.654747891,0.187383184,0.875955734,0.605703257,0.754227835,0.856616878,0.336311349,0.108025147,0.292754749,0.358162812,0.176683852,0.494525392,0.111461081,0.913204667,0.069949598,0.121378815,0.935333078,0.950485186,0.78551857,0.911083321,0.100915444,0.929572232,0.517167182,0.763234183,0.630730762,0.559759945,0.670496847,0.887082693,0.299045796,0.899846845,0.388466711,0.066430068,1,0.003332753,0.936744071
Cell18,0.1109814,0.069094266,0.100450616,0.184591194,0.115071612,0.201643506,0.109085359,0.019252987,0.161318553,0.193189705,0.127335307,0.279553652,0.005637281,0.186197552,0.070986316,0.022324863,0.164516235,0.04990357,0.042427976,0.121820325,0.058316756,0.13881215,0.274607844,0.251003651,0.251989262,0.238519621,0.073220742,0.050217863,0.169132796,0.179837197,0.229680223,0.07782118,0.231689309,0.094677168,0.730316246,0.203906628,0.503427021,0.683962301,0.003332753,1,0.216384848
Cell19,0.386111602,0.096028562,0.454463166,0.906299851,0.067389314,0.939158711,0.563015357,0.101373068,0.906592857,0.669946272,0.847306281,0.912261236,0.514938295,0.070090054,0.318460375,0.537083983,0.324017217,0.542214218,0.102039968,0.94424736,0.071109892,0.180864394,0.975150073,0.985736679,0.822387309,0.984083924,0.172314677,0.850130695,0.351698596,0.820177192,0.514874695,0.657995346,0.750646082,0.945359115,0.462175992,0.905510287,0.473578968,0.031584485,0.936744071,0.216384848,1
