,Cell1,Cell2,Cell3,Cell4,Cell5,Cell6,Cell7,Cell8,Cell9,Cell10,Cell11,Cell12,Cell13,Cell14,Cell15,Cell16,Cell17,Cell18,Cell19,Cell20,Cell21,Cell22,Cell23,Cell24,Cell25,Cell26,Cell27,Cell1,Cell2,Cell3
Cell11,0.6467786356493812,0.8867234332543422,0.866362609414974,0.887364779745709,-0.2960178560427814,0.9170480031791952,0.800279096190347,0.9062088125528526,0.8850972869244876,0.7692339729851912,1.0,0.8707020093924318,0.31563565480037664,0.21905041834931555,-0.28519326219418967,0.7753659678977244,0.6606690450508453,0.7852025235902977,0.8758019756113661,0.7546846963038902,0.6265066053688341,0.8319529120037287,0.9085036761189426,0.9233160817683387,0.6299507274566294,0.8380776714762588,0.8884707443665578,0.6801600717347384,0.12607960074953306,-0.49902327429771565
Cell12,0.7945210573802031,0.8411607997165229,0.7068521148022954,0.6894626522764401,-0.3378785526473101,0.9325699645769765,0.8576530325812697,0.9088614930773277,0.9611722853558137,0.6852313355107472,0.8707020093924318,1.0,0.5038668484930183,0.442528076224288,-0.4503884735019283,0.874730289822859,0.8452682445759022,0.9467287363305834,0.8732919397213913,0.828239776177151,0.7785150150483895,0.9356768181213325,0.8182906772181626,0.8896314932223531,0.7973408963375448,0.9569680878712326,0.9198635109769497,0.8562972047274925,0.22683467821796996,-0.6073671629208242
Cell13,0.7439392739716079,0.3423755088735063,0.24420696839945644,0.07433631693849649,-0.08464128392673473,0.3275981192490558,0.5661670993997977,0.4067310398161869,0.5334720927879482,0.011931421243446871,0.31563565480037664,0.5038668484930183,1.0,-0.19213532649981083,-0.6343103559628079,0.49217057835653283,0.5082232494034622,0.48902046616830164,0.561105869163911,0.7111746278396313,0.7179054308009626,0.5112322234905181,0.32672604668030614,0.39409053555774926,0.7281585649539697,0.3793307756769566,0.3477877104052878,0.330047640522508,-0.027115659168993802,-0.2941676593606686
Cell14,0.042217297294856945,0.17519001802020995,0.06599695360998814,0.2046496390468889,-0.0582709514862537,0.3527396685330533,0.13909551633289793,0.2784334500053135,0.24005485804716736,0.537594775332057,0.21905041834931555,0.442528076224288,-0.19213532649981083,1.0,0.30588457448759465,0.2337159411464837,0.496026933072234,0.44147013542091545,0.039004146076418715,-0.03653594191228695,0.012163890829667777,0.33535311667768236,0.22257328403945864,0.17689458442615957,0.009017039611632036,0.5143698883969113,0.42825748104618666,0.5625370733936255,0.4097904561958632,-0.21496285455184155
Cell15,-0.6907773350479903,-0.39146097961936727,-0.23489555303654605,-0.036905603485634285,0.3057121756356813,-0.37473089501719387,-0.5609694349245288,-0.4117097045976305,-0.5798522632110369,0.15962594992563697,-0.28519326219418967,-0.4503884735019283,-0.6343103559628079,0.30588457448759465,1.0,-0.5726286611073389,-0.3214251256078343,-0.41987172827949787,-0.6237421245797932,-0.7090893276435364,-0.7286489572484215,-0.47971773387959354,-0.20438868351907638,-0.4376620878094631,-0.762570425335147,-0.31142974951661145,-0.26483887434644815,-0.310200511866765,0.10484219708340381,0.3757905034796458
Cell16,0.7129859654544198,0.6797253332992592,0.5181578048606593,0.4914939230273701,-0.48161183144241776,0.838540328175244,0.7634098067721204,0.7640155877485554,0.9109445127162532,0.5699116139769509,0.7753659678977244,0.874730289822859,0.49217057835653283,0.2337159411464837,-0.5726286611073389,1.0,0.6717294193664317,0.8983656759644555,0.9257852883595606,0.7766609635657513,0.7685979782749354,0.9254398284392014,0.6139787137805983,0.7841806991693637,0.7770099140325243,0.7800384720824132,0.8403241032806174,0.8970296736709956,0.15565359341667187,-0.7083461989291093
Cell17,0.7142674624262298,0.66886723470938,0.5546301670290881,0.5060205675044949,-0.17089464257662107,0.7519881345978482,0.7241768421580025,0.7438090884520349,0.7767252402429305,0.5409175128535981,0.6606690450508453,0.8452682445759022,0.5082232494034622,0.496026933072234,-0.3214251256078343,0.6717294193664317,1.0,0.8578842819257615,0.6349236559544974,0.7124566946380156,0.6810563770116377,0.787681953398322,0.6528460794572305,0.6773661730830711,0.6915433051167387,0.8029446354121177,0.7746675622465404,0.7644288286733703,0.3982047672844407,-0.4734495519776776
Cell18,0.7462575475088329,0.7498030936613365,0.5971892366197359,0.5838281860671709,-0.3673973536081998,0.8928975991561893,0.7926922287521574,0.8249584917185504,0.9148850129524811,0.653789807113015,0.7852025235902977,0.9467287363305834,0.48902046616830164,0.44147013542091545,-0.41987172827949787,0.8983656759644555,0.8578842819257615,1.0,0.8209408271707006,0.7728288596095809,0.751410063078205,0.9339142191158694,0.7279603914331277,0.8112632225139852,0.7629851720554118,0.9116103149675147,0.8963883201256271,0.9183405575683078,0.3056869958663963,-0.6725097183636705
Cell19,0.7976598472097995,0.8025997991256053,0.7045708458909824,0.640665414152945,-0.39588045730643173,0.8543746850758438,0.8457273918233131,0.8338806635480174,0.944479003770475,0.5490992848605043,0.8758019756113661,0.8732919397213913,0.561105869163911,0.039004146076418715,-0.6237421245797932,0.9257852883595606,0.6349236559544974,0.8209408271707006,1.0,0.8933161579816501,0.8337761873977444,0.9020197914533097,0.7621303064342202,0.8802710545141935,0.8389961710124292,0.7755839783870746,0.8325908140790613,0.7279849607730591,0.045682552189670704,-0.5947895103553987
Cell20,0.9108575568331806,0.7625304759998563,0.6749789789613367,0.5592623749302583,-0.2741317389479922,0.76575115814302,0.894154357166047,0.797977888412433,0.8951975634642391,0.37651827214571487,0.7546846963038902,0.828239776177151,0.7111746278396313,-0.03653594191228695,-0.7090893276435364,0.7766609635657513,0.7124566946380156,0.7728288596095809,0.8933161579816501,1.0,0.8976910899396447,0.8322213747209051,0.7194335340241206,0.837570332484215,0.9161656478928982,0.7219422821860603,0.7270951794349676,0.5922101337396292,0.05921244790541314,-0.4744336851004088
Cell21,0.9121658153610569,0.6770791345044629,0.536201461640668,0.37128133183220924,-0.2268436105858248,0.6810293674086072,0.8540089733479224,0.7025956865925437,0.8521632144838961,0.20461746458437996,0.6265066053688341,0.7785150150483895,0.7179054308009626,0.012163890829667777,-0.7286489572484215,0.7685979782749354,0.6810563770116377,0.751410063078205,0.8337761873977444,0.8976910899396447,1.0,0.7633421074953934,0.5524860651716585,0.7228030589941257,0.982264575532438,0.687409106737924,0.621557079751046,0.5850134758825555,0.021431103471280338,-0.45057493737799864
Cell22,0.7408917155660705,0.707701613916781,0.5895930590604146,0.610427376427087,-0.34383274032832517,0.856301382392036,0.7762302408088297,0.794718503434423,0.9297601136166346,0.7005947910101566,0.8319529120037287,0.9356768181213325,0.5112322234905181,0.33535311667768236,-0.47971773387959354,0.9254398284392014,0.787681953398322,0.9339142191158694,0.9020197914533097,0.8322213747209051,0.7633421074953934,1.0,0.7654032417736555,0.8403215897903306,0.7855344582796588,0.8533428394782778,0.9485662788758372,0.8790808767087381,0.1652282527309948,-0.5896294282375979
Cell23,0.6266773592945197,0.8881939391744188,0.9047554812473745,0.9238236107389025,-0.17739454104010416,0.8618558231772401,0.7263205425821896,0.8510612305046182,0.8046262122333856,0.7401369430106992,0.9085036761189426,0.8182906772181626,0.32672604668030614,0.22257328403945864,-0.20438868351907638,0.6139787137805983,0.6528460794572305,0.7279603914331277,0.7621303064342202,0.7194335340241206,0.5524860651716585,0.7654032417736555,1.0,0.9145751292330939,0.5731529441643556,0.8447723697445622,0.8675521191095761,0.5555737405321438,0.1643159109510871,-0.39741691499049453
Cell24,0.7629702556980046,0.9317687135630341,0.8846453757951963,0.8615096269805024,-0.344174520755175,0.9368452942856219,0.8664677808990147,0.9326965201269258,0.9226320858359764,0.6508862571154992,0.9233160817683387,0.8896314932223531,0.39409053555774926,0.17689458442615957,-0.4376620878094631,0.7841806991693637,0.6773661730830711,0.8112632225139852,0.8802710545141935,0.837570332484215,0.7228030589941257,0.8403215897903306,0.9145751292330939,1.0,0.7460361991311435,0.8768059247055743,0.8820177994746797,0.664539960778485,0.10764986447597036,-0.5315255831373956
Cell25,0.9378129330769451,0.6952234185760364,0.5564477493734372,0.39322270444836915,-0.27012495972587364,0.7059166577408191,0.8665528286005907,0.7277948484299365,0.8732975262010341,0.23356027098832663,0.6299507274566294,0.7973408963375448,0.7281585649539697,0.009017039611632036,-0.762570425335147,0.7770099140325243,0.6915433051167387,0.7629851720554118,0.8389961710124292,0.9161656478928982,0.982264575532438,0.7855344582796588,0.5731529441643556,0.7460361991311435,1.0,0.7109298235596467,0.6489265968309351,0.5968489375983635,-0.0018858040712689647,-0.47323611144593275
Cell26,0.7279922176132037,0.8740210333866161,0.7554111285564975,0.7328574012224958,-0.26594347013071024,0.9301131715223759,0.8036547120692146,0.8894091788005406,0.9061072374920255,0.6995287223341619,0.8380776714762588,0.9569680878712326,0.3793307756769566,0.5143698883969113,-0.31142974951661145,0.7800384720824132,0.8029446354121177,0.9116103149675147,0.7755839783870746,0.7219422821860603,0.687409106737924,0.8533428394782778,0.8447723697445622,0.8768059247055743,0.7109298235596467,1.0,0.8922202834877012,0.8114191107954231,0.2892571748866574,-0.5557641901718846
Cell27,0.641134249834167,0.7701756593761175,0.7051186576093378,0.7739781544610967,-0.2992911764673049,0.9011883151581397,0.7397451021765944,0.8341731863820735,0.8870420790205396,0.8440852983860535,0.8884707443665578,0.9198635109769497,0.3477877104052878,0.42825748104618666,-0.26483887434644815,0.8403241032806174,0.7746675622465404,0.8963883201256271,0.8325908140790613,0.7270951794349676,0.621557079751046,0.9485662788758372,0.8675521191095761,0.8820177994746797,0.6489265968309351,0.8922202834877012,1.0,0.8403674436318251,0.19760961684074582,-0.541969684693459
Cell1,0.5610202609365995,0.5694699251710431,0.3896537037306028,0.4307366967637795,-0.450698032374011,0.7912298292334248,0.6227472254757471,0.6819157160076363,0.7984571179986323,0.6761589251585522,0.6801600717347384,0.8562972047274925,0.330047640522508,0.5625370733936255,-0.310200511866765,0.8970296736709956,0.7644288286733703,0.9183405575683078,0.7279849607730591,0.5922101337396292,0.5850134758825555,0.8790808767087381,0.5555737405321438,0.664539960778485,0.5968489375983635,0.8114191107954231,0.8403674436318251,1.0,0.4340921756424932,-0.6992307427063599
Cell2,0.07822648939191584,0.15623073519093336,0.08052232314140548,0.10055150061605372,-0.13448104555159945,0.24862513155974406,0.0950773594102654,0.14584737163370382,0.13153469225585188,0.21203107355514064,0.12607960074953306,0.22683467821796996,-0.027115659168993802,0.4097904561958632,0.10484219708340381,0.15565359341667187,0.3982047672844407,0.3056869958663963,0.045682552189670704,0.05921244790541314,0.021431103471280338,0.1652282527309948,0.1643159109510871,0.10764986447597036,-0.0018858040712689647,0.2892571748866574,0.19760961684074582,0.4340921756424932,1.0,-0.29499733745044
Cell3,-0.4470910020993522,-0.5036892121225295,-0.36186208875427617,-0.33863317874519056,0.729998087676641,-0.6344648501109964,-0.4970968512845672,-0.568112125191962,-0.606676631555284,-0.3542422632920544,-0.49902327429771565,-0.6073671629208242,-0.2941676593606686,-0.21496285455184155,0.3757905034796458,-0.7083461989291093,-0.4734495519776776,-0.6725097183636705,-0.5947895103553987,-0.4744336851004088,-0.45057493737799864,-0.5896294282375979,-0.39741691499049453,-0.5315255831373956,-0.47323611144593275,-0.5557641901718846,-0.541969684693459,-0.6992307427063599,-0.29499733745044,1.0
