Beta_Cell1,Beta_Cell2,Beta_Cell3,Delta_Cell1,Delta_Cell2,Delta_Cell3,Delta_Cell4,Delta_Cell5,Delta_Cell6,Delta_Cell7,Delta_Cell8
7042.24641833811,7108.207239819,7190.1982434128,10178.1045918367,8554.69896907217,7183.18950437318,9103.58123953099,7071.02823529412,6930.48484848485,6803.86419753086,6774.13955928646
7090.96848137536,7122.31131221719,7187.10288582183,10320.9897959184,8090.97319587629,7186.60349854227,8824.98157453936,6908.79529411765,6930.22510822511,6820.5,6827.07240293809
7071.85959885387,7148.10678733032,7226.0,9941.25510204082,8401.58144329897,7201.35860058309,8978.93634840871,6947.57176470588,6965.96536796537,6823.74074074074,6824.36935991605
7089.74498567335,7202.79095022624,7243.71016311167,10335.2346938776,8075.85154639175,7217.11078717201,9105.45393634841,6952.25411764706,6990.58874458874,6865.11419753086,6880.92235047219
7096.59312320917,7160.20452488688,7215.65119196989,10109.9617346939,8623.75670103093,7186.66180758018,9445.01842546064,6947.72941176471,6951.2987012987,7598.07716049383,6860.96956977964
7067.9340974212,7153.14751131222,7204.37641154329,11454.2831632653,7433.84948453608,7156.20699708455,8622.77554438861,6906.58588235294,6937.2683982684,6921.92592592593,6836.96642182581
7114.5329512894,7138.2036199095,7173.65495608532,11265.4668367347,7289.59381443299,7235.97959183673,8713.4405360134,6949.08235294118,6977.15151515152,7165.30555555556,6838.83840503673
7052.11747851003,7102.6742081448,7168.29234629862,10042.193877551,8241.48453608247,7186.97084548105,9625.63149078727,6892.96,6934.83982683983,8238.51234567901,6796.33263378804
7059.07736389685,7084.63167420814,7129.15056461731,11154.9362244898,7333.67216494845,7189.55102040816,8952.7269681742,6896.24470588235,6919.33333333333,7485.76851851852,6798.61070304302
7099.26074498567,7173.02986425339,7236.93099121706,11562.3265306122,7030.77731958763,7258.42857142857,8576.20435510888,6958.12705882353,7014.48051948052,7153.9475308642,6855.54774396642
7067.23782234957,7122.78280542986,7176.75282308657,11416.9183673469,6986.34845360825,7231.69970845481,8955.98827470687,6939.6,6944.11255411255,7518.12962962963,6809.68100734523
7057.59598853868,7133.4334841629,7198.27352572146,11968.0612244898,6965.79587628866,7203.34402332362,8066.37185929648,6909.39529411765,6951.61471861472,6875.39814814815,6812.0241343127
7082.32951289398,7116.26787330317,7188.37139272271,10347.3928571429,7379.57113402062,7236.07871720117,9391.18927973199,7127.01882352941,6911.61904761905,8033.83333333333,6802.97376705142
7065.25501432665,7123.45067873303,7180.09535759097,9670.59693877551,7708.59175257732,7201.37026239067,9198.87102177555,7332.91764705882,6944.43722943723,7644.95061728395,6814.01888772298
7115.14899713467,7156.82533936652,7235.29109159348,11195.2193877551,6970.67628865979,7258.03498542274,7676.79061976549,6900.97882352941,6962.8051948052,6829.18209876543,6835.50996852046
7098.8223495702,7153.01628959276,7219.44416562108,8964.40306122449,7838.76907216495,7228.36151603499,8869.96984924623,7403.98352941176,6993.44155844156,7364.84567901235,6845.80797481637
7095.59598853868,7155.89321266968,7227.0112923463,10227.8290816327,6995.99175257732,7239.57434402332,7687.24790619765,6933.12470588235,6962.04329004329,6845.51851851852,6820.97691500525
7090.68481375358,7181.72760180995,7243.45294855709,9586.80102040816,7448.94432989691,7208.18367346939,8388.83584589615,6936.17882352941,6951.50649350649,7150.36419753086,6829.05771248688
7105.41260744986,7143.40180995475,7208.49058971142,9824.54081632653,7268.43092783505,7193.25947521866,8208.55108877722,6883.28941176471,6909.35930735931,7137.48456790123,6826.15215110178
7155.98853868195,7185.33393665158,7254.10163111669,9982.0943877551,7070.59175257732,7236.70262390671,8132.8040201005,6893.39058823529,6935.72294372294,7042.69135802469,6868.62014690451
7135.15759312321,7162.62986425339,7202.36135508156,9287.13775510204,7598.23298969072,7239.41690962099,8838.61139028476,6943.35294117647,6952.61038961039,7410.58024691358,6836.0
7093.10315186246,7170.54389140271,7229.45671267252,10590.2219387755,6943.37525773196,7189.04664723032,7895.36180904523,6883.54823529412,6915.15151515152,6775.28086419753,6822.56033578174
7141.71346704871,7197.60904977376,7260.28732747804,9359.82142857143,7274.85154639175,7287.0583090379,8249.62646566164,6938.32,6948.58008658009,7415.40432098765,6865.17313746065
7141.60171919771,7182.69954751131,7245.53952321205,9492.47704081633,7103.23505154639,7313.32944606414,7637.55778894472,7347.32941176471,6959.78354978355,7694.69444444444,6862.740818468
7150.67048710602,7189.49049773756,7254.66373902133,10322.5892857143,6997.89896907216,7303.44023323615,7073.50586264657,6933.69411764706,6940.35930735931,7358.76543209877,6869.21196222455
7160.04871060172,7208.13846153846,7270.59849435383,9827.32142857143,6991.48659793814,7307.72594752187,7068.20603015075,6921.30823529412,6958.37229437229,7449.00617283951,6888.50472193075
7169.88538681948,7243.66244343891,7314.13801756587,9844.91326530612,7055.2,7323.04081632653,7079.39530988275,6982.30588235294,6994.329004329,7232.98148148148,6918.94123819517
7147.52435530086,7183.64796380091,7239.64115432873,9267.1887755102,6998.67835051546,7296.46064139942,7130.80569514238,6918.07294117647,6965.74458874459,7567.12962962963,6868.93389296957
7157.95702005731,7190.45520361991,7267.31744040151,9435.43112244898,7162.59793814433,7282.57725947522,7100.68006700167,6934.81882352941,6961.99567099567,7548.86111111111,6874.25393494229
7112.28366762178,7200.60904977376,7268.37641154329,10124.306122449,6972.11958762887,7265.8250728863,7039.90954773869,6892.62588235294,6945.06926406926,7172.86111111111,6862.06715634837
7156.21203438395,7228.78009049774,7293.34629861982,9805.2193877551,6999.90927835052,7298.79883381924,7085.43551088777,6916.96470588235,6949.89177489177,7199.03086419753,6901.84470094439
7155.9770773639,7221.29502262443,7277.60225846926,9815.29846938776,7043.20618556701,7328.80758017493,7093.45058626466,6973.99529411765,6991.60606060606,7272.16975308642,6880.98845750262
7137.11747851003,7188.85067873303,7279.90213299875,9569.54591836735,6980.31958762887,7329.42274052478,7091.91792294807,7241.12,6945.81818181818,7099.15432098765,6873.17523609654
7163.86819484241,7230.69411764706,7299.17816813049,9278.50510204082,7021.26804123711,7321.72011661808,7105.13232830821,7555.96941176471,6971.78354978355,7210.95679012346,6879.58237145855
7154.67048710602,7211.88868778281,7286.81932245922,8691.83673469388,7303.60618556701,7286.49854227405,7231.18425460637,7863.66352941177,6962.09523809524,7486.2962962963,6883.15320041973
7209.93123209169,7229.57013574661,7315.04767879548,9851.79846938776,7041.83711340206,7378.48396501458,7127.22613065327,7347.55058823529,7010.11255411255,7211.82098765432,6908.0241343127
7191.59025787966,7237.89773755656,7305.80803011292,9187.26275510204,7044.50309278351,7348.12244897959,7132.76549413735,7511.93176470588,7006.29004329004,7238.49691358025,6921.25288562434
7180.74498567335,7198.60542986425,7252.26850690088,9290.58163265306,6980.57525773196,7282.09912536443,7087.22278056951,7434.66352941177,6951.70562770563,7339.5,6891.42917103883
7225.61031518625,7229.36108597285,7292.2634880803,8722.96173469388,7072.81649484536,7365.4139941691,7143.42043551089,7065.77411764706,7029.07359307359,6905.6512345679,6920.52570828961
7204.71346704871,7217.8742081448,7272.46549560853,8416.23214285714,6993.75051546392,7331.3556851312,7100.90117252931,6935.86352941176,6960.08225108225,6993.3549382716,6914.19727177335
7126.36103151862,7146.35837104072,7205.06649937265,9129.83163265306,6959.08453608247,7273.97084548105,7054.44891122278,6894.28705882353,6937.50216450216,6837.8950617284,6852.16054564533
7117.30085959885,7152.12126696833,7199.55959849435,9312.84183673469,6948.23092783505,7199.93002915452,7042.0067001675,6909.34352941176,6907.34632034632,6798.04012345679,6831.93389296957
7110.43839541547,7148.49049773756,7224.22208281054,8244.02295918367,6975.56701030928,7342.4110787172,7083.36180904523,6913.72470588235,6953.65800865801,7278.4537037037,6846.7166841553
7142.91404011461,7172.62714932127,7241.48180677541,8189.99744897959,6996.71340206186,7320.02040816327,7077.52093802345,6934.42352941176,6960.98701298701,7059.61111111111,6851.61175236097
7198.63323782235,7253.47511312217,7315.28356336261,8600.66326530612,6994.50927835052,7320.13702623907,7122.01507537688,6928.31058823529,6969.32467532467,6978.34259259259,6911.16579223505
7174.14899713467,7225.57013574661,7268.21831869511,8786.3112244898,6999.30721649485,7293.15743440233,7088.16415410385,6931.87058823529,6942.19913419913,6822.36728395062,6900.89611752361
7154.78796561605,7216.46606334842,7273.96110414053,8269.34948979592,6986.90927835052,7284.13119533528,7071.68341708543,6934.70117647059,6957.06493506493,6835.01851851852,6880.08499475341
7134.53581661891,7227.18371040724,7299.15683814304,8851.90051020408,6952.66804123711,7282.46355685131,7072.66834170854,6891.37647058823,6917.28138528139,6810.83333333333,6868.19832109129
7148.27793696275,7240.96832579186,7293.01380175659,8797.39030612245,7003.23298969072,7346.81632653061,7130.53098827471,6937.88235294118,6971.76623376623,6837.10185185185,6893.79748163694
7222.21203438395,7265.15837104072,7341.94479297365,9377.6887755102,7026.25360824742,7373.24781341108,7125.9648241206,6959.83058823529,6985.88311688312,6850.35185185185,6917.01888772298
7142.25787965616,7196.38099547511,7274.67628607277,8440.84183673469,7007.93608247423,7298.48979591837,7062.7554438861,6945.06823529412,6968.36363636364,6891.04320987654,6874.32423924449
7212.25501432665,7279.39366515837,7370.26976160602,9411.57397959184,7052.54432989691,7373.60058309038,7136.68174204355,6974.93647058824,7014.84415584416,6863.08333333333,6917.53934942287
7170.96848137536,7207.62352941177,7272.08155583438,9612.43112244898,7010.79587628866,7344.39650145773,7104.43718592965,6936.57882352941,6972.93939393939,6841.61419753086,6873.73032528856
7184.64183381089,7230.91764705882,7284.59849435383,9609.81887755102,7051.58556701031,7337.83381924198,7102.68341708543,6981.92235294118,7006.72294372294,6869.13888888889,6904.35886673662
7154.29512893983,7234.02171945701,7305.28983688833,9318.47704081633,7018.01855670103,7332.86005830904,7096.97319932998,6944.29882352941,7000.32467532467,7018.83641975309,6871.64113326338
7214.11461318052,7275.0443438914,7329.81932245922,9491.07908163265,7043.43711340206,7373.65889212828,7137.00167504188,6972.58352941177,7017.19047619048,6902.88888888889,6907.82161594963
7195.38108882521,7242.29230769231,7314.78042659975,9688.84948979592,7069.75463917526,7401.34985422741,7151.57118927973,6997.96235294118,7032.0,6894.23148148148,6894.53620146905
7232.53581661891,7297.75746606335,7367.4730238394,9350.21173469388,7036.24536082474,7387.91253644315,7165.9648241206,6953.83294117647,7010.06060606061,6890.33950617284,6934.56768100735
7192.25214899714,7231.89049773756,7308.01254705144,8867.72704081633,7003.50927835052,7384.472303207,7133.89447236181,6953.58352941177,6960.8051948052,6860.54012345679,6892.41867785939
7169.77363896848,7204.02714932127,7299.9121706399,8974.0612244898,7017.15257731959,7348.84839650146,7127.83752093802,6958.15529411765,6999.47186147186,6841.88888888889,6864.10073452256
7185.45558739255,7239.807239819,7339.58469259724,8579.5306122449,7006.21649484536,7317.66763848396,7094.33835845896,6932.01647058824,6998.95238095238,6826.16666666667,6891.20566631689
7177.98280802292,7254.70950226244,7322.10037641154,8126.04336734694,7010.31134020619,7342.68804664723,7122.46063651591,6942.56,6986.17748917749,6857.7037037037,6891.90241343127
7162.54154727794,7218.09954751131,7320.17314930991,8131.61989795918,7013.52989690722,7327.79591836735,7098.49916247906,6943.77176470588,7006.39393939394,6876.04938271605,6893.80902413431
7225.3782234957,7236.46696832579,7292.42283563363,7878.01275510204,7008.58969072165,7368.45189504373,7171.40368509213,6960.36941176471,6993.63636363636,6892.56172839506,6921.314795383
7124.52148997135,7189.50950226244,7251.58092848181,7868.13520408163,6986.10927835052,7303.7667638484,7072.43048576214,6903.18352941176,6966.8354978355,6827.65740740741,6862.40608604407
7144.08022922636,7231.19819004525,7303.74654956085,7831.58163265306,7015.38762886598,7353.20991253644,7104.18257956449,6969.31058823529,7033.55411255411,6881.67901234568,6907.10388247639
7111.80802292264,7172.88325791855,7272.6712672522,7703.59183673469,6977.83505154639,7293.92128279883,7067.58458961474,6905.36941176471,6978.670995671,6827.16358024691,6829.45225603358
7176.67621776504,7213.86515837104,7296.4730238394,6945.40306122449,6961.58969072165,7313.93294460641,7086.45058626466,6922.26352941176,6960.81818181818,6829.32098765432,6907.9129066107
7139.4212034384,7204.1592760181,7264.61731493099,7776.25765306122,7032.63917525773,7318.89212827988,7059.35845896147,6953.95764705882,7025.23376623377,6854.17901234568,6863.32948583421
7184.07736389685,7249.13393665158,7303.4730238394,7970.13775510204,7005.18144329897,7373.50437317784,7145.07035175879,6949.29647058824,6996.38095238095,6874.78703703704,6903.36935991605
7218.60744985673,7276.40271493213,7339.93977415307,7668.08928571429,7026.23917525773,7378.1195335277,7153.57788944724,6974.73647058824,7039.01731601732,6892.81481481481,6923.85834207765
7140.10315186246,7209.41900452489,7288.39021329987,7619.90051020408,6972.30515463918,7311.95626822157,7079.50753768844,6920.83294117647,6975.14285714286,6851.18209876543,6862.53725078699
7158.38395415473,7243.68235294118,7282.70639899624,8179.27806122449,7035.63092783505,7354.07288629738,7088.79061976549,6971.61882352941,7026.28571428571,6864.81172839506,6892.38195173138
7129.86819484241,7227.3149321267,7294.51693851945,8372.28316326531,6962.12783505155,7294.83965014577,7060.54438860972,6908.30823529412,6979.60173160173,6834.72222222222,6882.6537250787
7183.08309455587,7257.3257918552,7326.34629861982,8288.33163265306,7015.16701030928,7347.08454810496,7128.67169179229,6966.97411764706,7013.17748917749,6863.83950617284,6892.52675760755
7146.25787965616,7208.40995475113,7269.67754077792,8210.16071428571,6982.93402061856,7324.80174927114,7073.66666666667,6929.16,6970.22077922078,6836.33333333333,6873.38300104932
7164.98567335244,7265.69954751131,7340.30112923463,8172.20918367347,7027.87835051546,7338.51603498542,7098.81909547739,6953.20705882353,7015.45887445887,6846.74074074074,6900.80797481637
7134.61031518625,7210.32941176471,7266.7365119197,8070.06887755102,6945.48865979381,7250.43731778426,7054.02680067002,6893.16,6961.45021645022,6797.08641975309,6863.6149003148
7170.13467048711,7256.4,7328.42659974906,7978.5637755102,7008.41855670103,7285.07580174927,7071.01172529313,6969.48,7012.14285714286,6861.29012345679,6897.60755508919
7206.38968481375,7264.95746606335,7327.87076537014,8503.57397959184,7009.98350515464,7326.86880466472,7098.43216080402,6963.73882352941,7009.09956709957,6867.47530864198,6917.17628541448
7169.78796561605,7252.67330316742,7294.04391468005,8515.60969387755,7019.34639175258,7307.10495626822,7078.86097152429,6963.65411764706,7014.53246753247,6845.37345679012,6894.60020986359
7197.79369627507,7289.40814479638,7337.07528230866,8150.03316326531,7003.61030927835,7347.72594752187,7140.46063651591,6954.30823529412,7020.23376623377,6894.27469135802,6933.27806925498
7133.33810888252,7255.31674208145,7302.79673776662,7847.9693877551,7019.85154639175,7320.92128279883,7078.86767169179,6983.80705882353,7019.4632034632,6844.2037037037,6879.14060860441
7122.31805157593,7236.13122171946,7291.33249686324,7781.94642857143,6968.21237113402,7307.72303206997,7070.34003350084,6925.01882352941,6970.34199134199,6817.47839506173,6861.90346274921
7145.06303724928,7192.67601809955,7236.373902133,7522.17346938776,7012.40824742268,7343.27405247813,7106.93802345059,6967.36470588235,7042.24242424242,6850.56481481481,6855.83105981112
7163.70200573066,7203.78190045249,7265.31116687578,7539.34183673469,6992.14432989691,7289.58309037901,7071.25460636516,6940.18352941176,7005.7012987013,6833.60185185185,6864.67890870934
7115.05444126075,7203.56199095023,7248.56712672522,7347.29336734694,6978.78969072165,7303.3527696793,7059.01507537688,6933.51058823529,6963.22510822511,6812.1450617284,6851.7796432319
7180.70487106017,7246.02895927602,7319.12672521957,7464.64795918367,7013.9175257732,7366.42274052478,7120.62311557789,6970.91529411765,7015.2987012987,6875.61419753086,6904.0073452256
7209.36962750716,7251.90859728507,7310.27603513174,7353.3137755102,7043.11134020619,7383.77259475219,7155.57621440536,6993.32,7037.32467532467,6887.1049382716,6904.49842602308
7179.71633237822,7250.74479638009,7305.27728983689,7369.5943877551,7035.42474226804,7365.65306122449,7106.26968174204,6972.48941176471,7027.64069264069,6828.83641975309,6889.740818468
7185.04871060172,7230.28868778281,7295.03011292346,7556.94387755102,7020.50309278351,7351.7638483965,7092.91289782245,6949.72705882353,7018.81818181818,6828.80555555556,6891.8982161595
7200.36962750716,7270.74208144796,7337.51191969887,7439.375,7023.77113402062,7395.27696793003,7130.72864321608,6984.24,7004.30735930736,6875.50925925926,6892.42287513116
7252.60458452722,7276.95656108597,7329.67628607277,7248.94132653061,7053.05773195876,7409.90670553936,7176.25795644891,6982.81882352941,7025.81385281385,6858.14814814815,6923.9370409234
7207.40687679083,7273.81176470588,7328.96361355082,7384.68367346939,7011.2,7390.54810495627,7124.96314907873,6946.48235294118,6996.35930735931,6860.44444444444,6911.19412381952
7198.65042979943,7279.97556561086,7344.50313676286,6973.29081632653,7049.20618556701,7376.86297376093,7134.6850921273,6987.08705882353,7036.22510822511,6893.60185185185,6920.31584470094
7233.76217765043,7307.2036199095,7359.7139272271,7330.04846938776,7045.85154639175,7368.5860058309,7143.62646566164,7008.72705882353,7042.39393939394,6880.40432098765,6936.92444910808
7186.4670487106,7257.23891402715,7315.10664993726,6981.41071428571,7042.7381443299,7365.49854227405,7115.99664991625,7009.57882352941,7025.55411255411,6882.88271604938,6898.6778593914
7237.48137535817,7306.80090497738,7361.61229611041,7002.21683673469,7012.12371134021,7395.10495626822,7148.21775544389,6937.38352941176,7022.1948051948,6869.58024691358,6922.33158447009
7211.80802292264,7277.90950226244,7328.54454203262,7016.45663265306,7017.89690721649,7365.49854227405,7144.67001675042,6960.15294117647,7046.87445887446,6885.11111111111,6915.40503672613
7194.56446991404,7254.34751131222,7321.41530740276,7093.64540816327,7016.46391752577,7390.91545189504,7121.99664991625,6966.17882352941,7035.65367965368,6901.35185185185,6883.45960125918
7247.61604584527,7315.92307692308,7366.17816813049,7005.24489795918,7028.38144329897,7431.20699708455,7167.5594639866,6965.10823529412,7045.35497835498,6879.83333333333,6933.61175236097
7159.90257879656,7245.08778280543,7332.86323713927,7168.01785714286,7007.27216494845,7339.27405247813,7101.38358458961,6964.05176470588,7016.96536796537,6837.94444444444,6872.56033578174
7208.65329512894,7274.33303167421,7330.04767879548,7183.66326530612,7009.03917525773,7380.69387755102,7136.16917922948,6977.20705882353,7006.8961038961,6874.4475308642,6915.97691500525
7215.57306590258,7267.86153846154,7359.74905897114,6992.72959183673,7041.80412371134,7440.90087463557,7170.79564489112,6997.23058823529,7067.65367965368,6917.42592592593,6912.11017838405
7214.41833810888,7287.67058823529,7325.55332496863,6962.86734693878,7021.74639175258,7383.65889212828,7140.90284757119,6972.01647058824,7041.30303030303,6912.27160493827,6914.60335781742
7202.04011461318,7285.0407239819,7354.44667503137,6929.75765306122,6993.27628865979,7348.77551020408,7115.60636515913,6938.44,6999.70562770563,6865.04012345679,6912.99685204617
7228.06017191977,7314.70045248869,7392.55457967378,6989.84183673469,7052.70927835052,7409.16034985423,7149.10720268007,7019.90117647059,7064.66666666667,6915.06790123457,6947.93074501574
