Beta_Cell1,Beta_Cell2,Beta_Cell3,Beta_Cell4,Beta_Cell5,Beta_Cell6,Beta_Cell7,Beta_Cell8,Beta_Cell9,Beta_Cell10,Beta_Cell11,Beta_Cell12,Beta_Cell13,Beta_Cell14,Beta_Cell15,Beta_Cell16,Beta_Cell17,Beta_Cell18,Beta_Cell19,Beta_Cell20,Beta_Cell21,Beta_Cell22,Delta_Cell1,Delta_Cell2,Delta_Cell3,Delta_Cell4,Delta_Cell5,Delta_Cell6,Delta_Cell7,Delta_Cell8,Delta_Cell9,Delta_Cell10,Delta_Cell11,Delta_Cell12,Delta_Cell13,Delta_Cell14,Delta_Cell15,Delta_Cell16,Delta_Cell17,Delta_Cell18,Delta_Cell19
6747.32463768116,11603.6595744681,6752.74660633484,6778.87610619469,6870.01302083333,6940.76371308017,6792.81972789116,9236.32121212121,6932.42332613391,6962.89903846154,9767.76717557252,11100.2909836066,6871.9453125,7962.3474025974,6828.22900763359,6741.67105263158,6599.3595505618,6507.13286713287,9998.375,11531.3059701493,6535.05363984674,6625.97635135135,19149.3657817109,21007.1608751609,19773.9128065395,21773.0350877193,6466.10984848485,6497.82186234818,10086.832037325,7357.74110032362,6657.52419354839,14047.3987341772,6805.29669156884,10718.8212389381,13356.5888888889,8814.65601217656,9340.00965018094,20816.5081632653,8245.79545454545,18863.4302670623,13051.6585956416
6758.8,13451.7446808511,7579.52941176471,6829.97850821745,6929.45833333333,6929.29113924051,6776.21428571429,8868.04848484848,6912.73002159827,6963.78125,11829.9847328244,10965.4672131148,6904.234375,7814.49350649351,6820.02748091603,6731.24473684211,6588.59925093633,6535.52447552448,11762.7291666667,9421.76865671642,6595.32183908046,6609.63513513513,19609.2212389381,21665.332046332,19654.659400545,22635.5,6476.91287878788,6516.6963562753,9784.20217729394,6792.05501618123,6708.55913978495,12951.0411392405,6850.30522945571,12028.3026548673,12760.3,9239.35768645358,7606.36911942099,18858.3755102041,6788.62272727273,18001.6231454006,13385.0702179177
6762.55797101449,10888.7191489362,8343.92533936652,6819.71807838179,6915.96354166667,6988.91139240506,6798.09863945578,8032.96363636364,6945.96112311015,6970.60336538462,10185.8167938931,11077.0655737705,6873.96875,6891.50324675325,6805.28396946565,6704.53947368421,6601.80524344569,6534.00699300699,6440.16145833333,14113.2014925373,6581.4061302682,7079.54560810811,19133.2020648968,20876.6023166023,20200.029972752,21356.1666666667,6482.24242424242,6492.22672064777,10378.5956454121,9170.51779935275,6688.16935483871,15214.1803797468,6830.60618996798,10495.996460177,13706.7592592593,8912.97260273973,9937.39445114596,21284.2469387755,8858.28181818182,18724.6142433234,13163.3535108959
6733.94347826087,15840.3574468085,7742.65610859729,6816.3185840708,6917.86979166667,6985.89873417722,6784.50680272109,6823.23333333333,6939.60259179266,6935.75961538462,13241.3625954198,10989.9836065574,7003.56640625,6906.41883116883,6831.77404580153,6736.26842105263,6603.46816479401,6517.00699300699,6426.01041666667,12861.9328358209,6562.54789272031,6613.94425675676,19082.1224188791,21015.2316602317,20006.2370572207,21174.8684210526,6464.97727272727,6521.74089068826,10185.367029549,9110.44336569579,6694.89784946237,14937.7310126582,6850.52187833511,10773.4300884956,13568.6518518519,8992.91324200913,9256.97587454765,20545.4795918367,7959.25681818182,18044.8456973294,12785.7602905569
9156.18260869565,12777.6127659574,7600.19004524887,6839.70164348925,6942.27083333333,6988.27426160338,6808.16666666667,6868.67878787879,6954.18574514039,6945.23557692308,11997.8282442748,11410.9549180328,6905.6328125,6872.41558441558,6838.0213740458,6771.51315789474,6645.85767790262,6512.03496503497,6424.15625,12822.171641791,6588.90038314176,6682.1570945946,19109.3643067847,21041.4015444015,20240.4768392371,20956.5877192982,6472.08333333333,6529.84615384615,10307.8258164852,9467.10355987055,6656.97580645161,15277.3829113924,6843.78014941302,11297.3716814159,13341.7888888889,9056.07610350076,8886.81182147165,19582.9265306122,7302.27045454545,17936.0771513353,12945.4430992736
14907.9101449275,13647.1234042553,6971.28959276018,6818.62958280657,6921.1328125,7014.6835443038,6836.7074829932,6851.08484848485,6977.33045356372,7022.40144230769,12697.3358778626,10575.5163934426,6875.6640625,6928.75649350649,7450.49618320611,6763.58684210526,6636.54307116105,6555.84615384615,8048.10416666667,11772.2164179104,7554.32567049808,6644.41891891892,18745.9867256637,20916.1068211068,20118.0708446866,21044.9342105263,6512.69318181818,6565.13765182186,10179.0311041991,9621.63430420712,6714.01344086022,14854.9240506329,6876.78868729989,11230.589380531,13249.0074074074,8995.13850837138,8637.84439083233,19075.2591836735,7133.57272727273,17597.943620178,12724.9588377724
14723.1898550725,15148.7872340426,6774.7850678733,6805.21238938053,6904.33072916667,6989.05485232068,6808.43537414966,6822.54848484848,6958.04967602592,6994.65625,12866.0687022901,10589.8729508197,6864.45703125,6928.60714285714,10914.7832061069,6764.88947368421,6628.53558052434,6532.83216783217,9788.640625,13899.5597014925,6595.3754789272,7289.83614864865,18185.0486725664,20284.2947232947,20188.8501362398,20248.8552631579,6493.54166666667,6550.48178137652,10391.8460342146,10704.786407767,6707.74731182796,15355.4936708861,6872.54215581644,10555.0212389381,13565.462962963,8866.78234398782,9657.66344993969,20307.3183673469,8836.59090909091,18025.178041543,12636.416464891
13452.5246376812,14850.0808510638,6753.56561085973,6784.28950695322,6889.14583333333,6974.54852320675,6805.89795918367,6815.98484848485,6941.55507559395,6977.22596153846,12058.427480916,9912.23360655738,6886.046875,6922.43506493507,13870.5664122137,6748.15789473684,6625.30337078652,6526.90909090909,11610.1770833333,12470.1641791045,6601.49425287356,6970.26689189189,18216.814159292,20499.5250965251,19687.7738419619,20783.2105263158,6483.08712121212,6536.17408906883,10181.7838258165,9805.87378640777,6707.75537634409,14685.9493670886,6859.35965848453,11119.8123893805,13015.2296296296,8845.400304414,8795.31966224367,19507.406122449,7679.02272727273,17454.9851632047,12823.5351089588
12387.1260869565,8708.38723404255,6780.54298642534,6818.94816687737,6922.71875,6942.97046413502,6785.68367346939,6838.29393939394,6920.5788336933,6956.44951923077,11830.5916030534,9715.80737704918,6853.8515625,6926.46428571429,12513.6763358779,6716.01578947368,6588.97752808989,6555.13286713287,7011.40104166667,14251.8880597015,6583.95019157088,6630.7027027027,17599.901179941,19833.5984555985,19514.0054495913,19943.9166666667,6509.86363636364,6543.69230769231,9999.300155521,9772.35275080906,6713.88978494624,15226.3481012658,6862.74919957311,10879.1876106195,12788.9333333333,8713.66362252664,8578.99517490953,18484.9755102041,8019.69090909091,17053.9376854599,12638.7723970944
12541.6217391304,7321.01276595745,6798.68325791855,6855.55372945638,6964.59895833333,6988.23628691983,6802.66326530612,6866.55151515152,6947.95032397408,6985.74519230769,10478.2786259542,8958.34836065574,6891.87890625,6901.65909090909,9040.06564885496,6766.15789473684,6639.41947565543,6531.23776223776,6431.984375,13451.5149253731,6565.19157088123,6789.58108108108,17548.4218289086,19803.9858429858,19319.0708446866,19947.9385964912,6474.40151515152,6506.17408906883,10016.7713841369,9885.36245954693,6684.80913978495,15382.6518987342,6855.08004268943,10888.1132743363,12613.537037037,8677.00761035008,8671.11942098914,18113.6775510204,7970.96136363636,17038.7270029674,12641.1186440678
7347.22463768116,6872.28085106383,6741.9185520362,6794.27560050569,6901.76041666667,7029.96202531646,6836.08843537415,6790.3,6990.08639308855,7017.53605769231,12347.0763358779,9039.98360655738,6876.15625,6928.82142857143,6827.59236641221,6745.36842105263,6615.93632958801,6569.85314685315,6491.81770833333,11151.3059701493,6606.35632183908,6617.19087837838,17777.7551622419,20142.9768339768,18919.9727520436,20458.3201754386,6525.10984848485,6558.87449392713,9792.37169517885,9410.76375404531,6713.84139784946,14877.8164556962,6881.37673425827,11471.0300884956,12138.4222222222,8709.65753424657,7843.83353437877,17003.0469387755,7030.55227272727,16623.2759643917,12829.0556900726
6742.09855072464,6742.64680851064,6780.69683257919,6822.64728192162,6932.35677083333,6985.96624472574,6781.37414965986,6826.08181818182,6917.7969762419,6936.13701923077,11219.320610687,9158.38114754098,6895.94140625,6899.14285714286,6831.85954198473,6746.78421052632,6632.59925093633,6549.27972027972,6458.93229166667,16824.7164179104,6586.83908045977,6639.33108108108,16814.9911504425,18878.583011583,19642.9564032698,18476.9035087719,6498.28409090909,6543.66396761134,9882.24883359254,12154.6504854369,6691.14784946237,17072.0316455696,6845.98932764141,9417.44778761062,13203.4333333333,8276.81278538813,10298.5440289505,19900.4755102041,11011.7363636364,17731.9851632047,12141.9975786925
6779.84057971014,9514.06382978723,6790.73755656109,6846.47661188369,6951.55208333333,7004.62447257384,6814.00340136054,6828.99393939394,6957.55507559395,6975.66586538462,10843.7595419847,9220.24180327869,7092.03515625,6925.9512987013,6838.22595419847,6764.55,6646.85018726592,6542.91608391608,6451.00520833333,13849.8059701493,6591.12643678161,6635.11148648649,17309.5486725664,19551.0012870013,19369.7901907357,19487.6578947368,6498.20075757576,6529.46153846154,10068.33437014,11262.928802589,6707.2688172043,16267.6518987342,6875.00106723586,10800.6371681416,12283.1222222222,8555.37442922374,8708.04825090471,18201.4551020408,8477.91363636364,16992.9554896142,12416.6392251816
6785.83188405797,14497.7021276596,6790.12895927602,6843.35524652339,6953.33333333333,7026.20675105485,6831.2925170068,6858.35757575758,6981.30453563715,6980.64423076923,10728.2404580153,9458.34836065574,6891.3984375,6930.28246753247,6857.31603053435,6764.47368421053,6634.29588014981,6565.65734265734,6467.640625,13059.2388059701,6590.86206896552,6646.74831081081,17433.8657817109,19780.268983269,19301.1525885559,19890.9868421053,6517.67424242424,6551.15789473684,9973.50544323484,11083.9482200647,6714.77956989247,16290.9778481013,6873.22091782284,11041.0884955752,12011.6185185185,8627.83105022831,8535.69119420989,18234.9775510204,8353.79090909091,17179.9970326409,12522.7651331719
6824.08115942029,13715.9446808511,6766.13122171946,6818.02402022756,6924.13020833333,7022.49367088608,6822.16666666667,8943.23939393939,6975.61123110151,7020.09615384615,10422.6946564885,8555.61885245902,6866.2734375,6944.22727272727,6831.75419847328,6771.03947368421,6631.40823970037,6560.52447552448,6458.83854166667,13359.1343283582,6598.08812260536,6861.91554054054,17509.5663716814,19914.2895752896,19416.0626702997,19892.6929824561,6509.12121212121,6561.7975708502,10029.8102643857,11256.1585760518,6714.99731182796,16563.6930379747,6890.99573105656,10774.7079646018,12385.337037037,8709.69406392694,9062.47165259349,19114.4142857143,9307.11363636364,17663.1691394659,12507.2542372881
6772.02028985507,15435.3744680851,6789.64932126697,6847.26042983565,6963.421875,6996.5358649789,6794.07482993197,10677.7787878788,6941.6717062635,6964.69951923077,11667.8778625954,9589.90573770492,6871.16015625,6912.56493506493,6859.49923664122,6793.15,6646.34456928839,6565.23776223776,6457.69791666667,14374.8805970149,6995.69348659004,7063.3277027027,17281.0265486726,19638.4491634492,19477.6376021798,19760.6929824561,6509.74242424242,6518.44129554656,10167.5878693624,11788.2621359223,6686.39247311828,17171.5379746835,6861.48345784418,10386.2637168142,12642.9814814815,8523.24657534247,9504.34016887817,19981.1183673469,10238.3636363636,18060.0,12293.004842615
