Beta_Cell1,Beta_Cell2,Beta_Cell3,Beta_Cell4,Beta_Cell5,Beta_Cell6,Beta_Cell7,Beta_Cell8,Beta_Cell9,Beta_Cell10,Beta_Cell11,Beta_Cell12,Beta_Cell13,Beta_Cell14,Delta_Cell1,Delta_Cell2,Delta_Cell3,Delta_Cell4,Delta_Cell5,Delta_Cell6,Delta_Cell7,Delta_Cell8,Delta_Cell9
19150.7584487535,17132.324929972,14707.8710644678,24045.4164358264,9456.13260340633,15312.4976399191,13205.441509434,6653.82537313433,7601.99100618325,26990.0791245791,6659.17054263566,8361.74021739131,15745.4541832669,13212.162085976,10422.6636971047,6341.25971370143,14337.0798175599,6446.76352705411,6394.79361702128,16576.1285988484,12602.1129761136,18335.80651341,8303.30158730159
19220.9789473684,18070.162464986,15889.0764617691,24029.2797783934,10341.2214111922,15866.291301416,13136.6301886792,6662.48656716418,7382.78471051152,27578.2558922559,6631.72093023256,7171.11195652174,15830.5742743312,13397.1479915433,10449.4766146993,6342.34151329243,14252.9007981756,6433.92184368737,6390.50921985816,16636.396353167,12184.3337637185,17760.1216475096,7482.89153439153
20180.8099722992,17372.5070028011,15384.9325337331,24372.4182825485,11230.2785888078,15527.3432231962,12611.9773584906,6665.85373134328,8384.19449128724,26498.7255892256,13494.5426356589,6806.44347826087,15187.2094479226,13382.5313601128,10519.3218262806,6893.18404907975,14501.5233751425,6416.75751503006,6402.42553191489,16780.1785028791,11954.1407359587,18442.1130268199,8564.16666666667
19822.3396121884,16897.7030812325,15222.2023988006,23613.3120960295,10604.8187347932,14911.8267026298,11691.4264150943,6690.31791044776,8905.86340640809,27206.968013468,7721.52454780362,7117.87717391304,15966.1946499715,13238.7082452431,10599.3106904232,7922.32924335378,14896.4059293044,6480.92184368737,6416.21914893617,16781.207293666,12077.4092963202,19049.9415708812,9027.40476190476
19108.5141274238,16596.056022409,14860.203898051,24181.5383194829,10309.2226277372,14416.9062710722,12608.9849056604,6698.72388059701,8724.40753232153,22976.7575757576,6656.46511627907,7627.73369565217,14881.8161639158,12896.2241014799,10417.793986637,7743.16768916155,14575.8905359179,6455.57314629259,6407.43546099291,16329.7399232246,11836.1872175597,18515.6647509579,8502.11375661376
19134.8011080332,16839.0784313725,16226.9445277361,23934.9289012004,10519.0170316302,15253.8819959541,12979.0566037736,6666.61343283582,8489.24339516582,21208.2441077441,11550.1188630491,7271.94891304348,14525.1457029027,12787.9908386187,10416.1603563474,7139.72597137014,13908.2919042189,6422.15831663327,6397.45177304965,16145.0777351248,11811.4351194319,18239.1034482759,8116.38888888889
17693.4260387812,15134.2605042017,14533.5832083958,22429.9898430286,8784.39172749392,13262.9089683075,11260.1433962264,6636.87014925373,8928.19392917369,19370.7222222222,7234.54263565892,7113.10217391304,13609.733636881,12342.4869626498,10345.7583518931,7834.94887525562,14049.6248574686,6441.13627254509,6382.4865248227,15618.2130518234,11951.5752098128,18528.8409961686,8492.01322751323
18072.0869806094,15467.0700280112,15224.5157421289,23215.945521699,9838.71654501216,14372.7140930546,12234.8490566038,6656.7223880597,8529.12478920742,21019.3771043771,11622.7157622739,7832.09347826087,13885.4735344337,12368.4453840733,9991.27171492205,7019.06952965235,13591.0820980616,6416.49699398798,6389.63262411347,15557.2216890595,11492.4654615881,18235.2672413793,7533.54232804233
17166.2487534626,15246.1596638655,14914.1934032983,21797.6629732225,8948.8698296837,12998.3263654754,11081.2264150943,6682.74626865672,8723.63181562676,19276.9865319865,6619.95865633075,6927.85217391304,13137.1923733637,12293.0782241015,9642.70267260579,6930.51329243354,13745.5895096921,6428.13627254509,6407.40212765957,15488.2802303263,11429.4402840542,17979.8965517241,7951.87301587302
17150.2952908587,15296.350140056,15101.1244377811,20919.6500461681,9214.27615571776,12723.3425488874,11021.0301886792,6669.68507462687,8672.98538504778,18386.0033670034,6641.67441860465,7223.36304347826,14079.9208878771,12114.540521494,9259.59799554566,6333.45807770961,13734.7354618016,6434.82965931864,6393.71985815603,15190.9740882917,11217.6249193028,17452.0344827586,7526.80687830688
18181.795567867,15415.781512605,15285.7406296852,21352.86611265,9583.66180048662,12319.1436277815,10255.9924528302,6655.92835820896,9054.62956717257,16316.9242424242,6595.16020671835,7898.2152173913,13349.8070574843,12010.5905567301,9326.36080178174,6862.47034764826,13693.8209806157,6413.55511022044,6380.64326241135,15102.5527831094,11027.4396384764,17425.2490421456,7798.78042328042
17666.4531855956,14944.2941176471,16453.5637181409,21137.4921514312,7794.36618004866,13281.910991234,10934.0716981132,6626.97164179104,9156.98875772906,18969.3164983165,6627.65633074935,6750.5597826087,13837.4797951053,12028.5221987315,9437.3140311804,6861.26584867076,13800.1949828962,6424.26452905812,6386.08865248227,15118.3502879079,11025.7953518399,17348.9865900383,7842.81216931217
17353.096398892,14728.8991596639,15832.2623688156,21124.8467220683,8529.93309002433,12727.3162508429,11089.7094339623,6618.20149253731,9017.37549184935,17356.2441077441,8423.63049095607,6656.33913043478,13261.5139442231,11973.9718111346,9475.43875278396,6546.65644171779,13485.677309008,6407.92585170341,6362.28156028369,15041.8080614203,11090.3783085862,17333.1609195402,8165.85978835979
17946.0709141274,14606.406162465,15846.059970015,21534.3056325023,7871.38199513382,12926.3560350641,10639.8943396226,6630.94626865672,9349.61270376616,16356.1734006734,10920.8372093023,6648.09565217391,13274.7529880478,11979.4129668781,9468.18819599109,7381.93865030675,13831.7217787913,6403.68136272545,6371.21134751773,15104.4213051823,11156.7934151065,17364.0670498084,8884.39417989418
17221.0088642659,14324.1904761905,15196.8515742129,21015.0637119114,8101.62652068126,13822.3283884019,11552.9924528302,6657.03731343284,9651.88926363125,15761.734006734,7407.165374677,6691.14673913043,13463.0961866818,12032.8062015504,9460.43207126949,8171.12883435583,14134.9680729761,6422.37675350701,6378.02765957447,15160.5623800384,11139.9948353777,17079.3687739464,9003.71957671958
17382.0127423823,14802.8319327731,15511.1034482759,22053.0461680517,8595.83090024331,13419.2811867835,11797.5962264151,6674.1223880597,9729.69364811692,16150.861952862,10782.8759689922,6640.55326086956,12901.2094479226,12014.5468639887,9523.77951002227,8637.31901840491,13963.472063854,6429.82565130261,6402.99858156028,15153.7811900192,10982.2989025178,16986.1992337165,9659.2328042328
16506.6476454294,14652.0616246499,15758.1214392804,21964.3665743306,9104.35401459854,13449.5488873904,11330.5283018868,6638.4552238806,9649.73693086003,14791.1717171717,7519.37209302326,6622.6402173913,12393.2561183836,11899.4622973925,9617.38864142539,8314.91615541922,13600.6385404789,6428.28056112224,6376.55460992908,14943.8618042226,10982.6307295029,16624.9195402299,9158.9126984127
15943.8293628809,14241.0336134454,15689.4167916042,21684.3970452447,7901.1204379562,13493.7444369521,11515.8867924528,6631.92388059702,9138.99831365936,15683.2424242424,7672.58397932817,6655.50652173913,13246.4593056346,11676.1966173362,9514.73608017817,7011.50920245399,12873.9201824401,6392.33466933868,6374.00283687943,14669.6084452975,10735.2169141382,16319.8649425287,8865.99735449735
16754.4476454294,14581.5490196078,17050.1019490255,21590.0193905817,7981.38686131387,12825.1672285907,11461.8679245283,6687.09253731343,9250.84485666105,15934.9494949495,11542.3746770026,6644.2402173913,13318.4456459875,11818.2776603242,9495.02338530067,7054.8200408998,13163.669327252,6444.80761523046,6411.60709219858,14745.9357005758,10790.5610071014,16505.9252873563,9483.42857142857
16234.324099723,14010.106442577,15511.203898051,20877.1061865189,8114.6301703163,10974.4538098449,10104.0075471698,6645.20597014925,9496.12197863969,14900.5303030303,6622.76227390181,6858.76739130435,13206.2760387023,11767.5673009161,9449.79621380846,7629.80163599182,13172.3078677309,6415.50701402806,6398.9390070922,14638.7821497121,10674.3983214977,16454.9319923372,9915.30158730159
15858.0121883657,14513.4285714286,16253.7016491754,20752.6269621422,7117.64476885645,11467.2933243425,10610.7018867925,6693.58507462687,9775.53513209668,17577.6885521886,7472.25322997416,6938.04565217391,13012.7666476949,11782.9069767442,9359.35077951002,8590.89775051125,13498.4652223489,6444.14428857715,6429.40992907801,14748.5009596929,10692.7378954164,16505.8247126437,9914.1164021164
16605.8703601108,13867.9635854342,15930.6536731634,21517.8938134811,8601.48661800487,11974.3755900202,11088.7396226415,6634.13582089552,10104.5480607083,14117.5437710438,9846.42894056848,6660.94891304348,12573.2532726238,11907.8019732206,9453.46881959911,9343.54396728016,14040.6898517674,6412.0380761523,6377.84042553191,14924.2303262956,10986.5183989671,16698.4042145594,9801.25396825397
16611.9905817175,14015.3753501401,16519.3058470765,22377.7996306556,7225.05352798054,12481.0350640593,11796.3396226415,6664.03731343284,9900.37549184935,15611.4831649832,8732.17054263566,7044.075,13402.8059191804,12038.8780831572,9616.85968819599,8377.74028629857,13822.645381984,6440.97394789579,6409.01843971631,14969.3848368522,11142.1316978696,16637.0277777778,9766.40211640212
17506.7130193906,14672.0392156863,17360.3538230885,22296.7192982456,8493.95133819951,12872.8071476736,11954.3132075472,6654.34925373134,10048.2833052277,14591.0471380471,6662.53746770026,6739.44673913044,12648.6141149687,12069.4820295983,9600.04120267261,9166.8118609407,14162.6761687571,6430.17434869739,6401.35602836879,15030.1170825336,11157.8469980633,16573.9904214559,9386.72751322751
16922.1994459834,14162.5070028011,16706.6326836582,21697.6879039705,7004.92944038929,12862.6075522589,11419.5509433962,6684.14328358209,10129.3743676223,15399.9915824916,10455.5400516796,7231.19130434783,13573.9328400683,11844.2684989429,9363.28062360802,10732.773006135,14769.4811858609,6433.86973947896,6415.36595744681,14930.5671785029,11039.1568754035,16708.6829501916,9016.79894179894
15548.1789473684,13730.218487395,16630.6296851574,21900.3379501385,7131.59610705596,12840.8900876601,11702.7018867925,6669.46417910448,9828.83979763912,14246.537037037,11417.8527131783,6861.87608695652,12769.6516789983,12028.2938689218,9366.00445434298,9450.39877300613,14209.8278221209,6426.18236472946,6409.56524822695,15043.3627639155,11145.8244028405,16696.3572796935,9023.31216931217
14340.5252077562,13846.9495798319,15306.1724137931,22136.054478301,7574.22262773723,13110.1726230614,12388.6,6689.08955223881,9599.51602023609,14150.0202020202,6681.40568475452,6786.97608695652,13347.2709163347,11987.3798449612,9296.88864142539,9041.81595092025,13749.9224629418,6422.7995991984,6425.22482269504,14882.3416506718,11116.9993544222,16549.4607279693,8709.76984126984
15744.956232687,13649.3025210084,15066.6941529235,21832.7340720222,8251.53284671533,11753.5205664194,12031.0754716981,6691.03731343284,9177.62338392355,10789.1632996633,6687.27906976744,6967.49347826087,12949.4473534434,11573.2656800564,9352.66926503341,7802.28220858896,12913.2246294185,6446.90981963928,6441.9695035461,14246.1026871401,10560.226597805,16182.4281609195,8665.6164021164
16214.8421052632,14060.1596638655,15826.5592203898,20958.4949215143,7572.32238442822,12106.906945381,12206.0301886792,6683.78955223881,9518.97695334458,13064.0084175084,6680.41860465116,6688.06847826087,11437.4558907228,11389.5553206483,9087.39309576837,9397.15950920245,13247.5176738883,6475.73346693387,6432.05319148936,14186.0278310941,10371.9961265332,16131.4090038314,8844.06613756614
14328.4459833795,12663.0364145658,14307.7766116942,19436.891966759,6749.38807785888,11758.1072151045,10714.5924528302,6700.37462686567,9389.76391231029,11911.5707070707,6664.04651162791,6665.70760869565,11683.4854866249,11498.6095842142,8824.7995545657,9805.73210633947,13253.9657924743,6463.28056112224,6435.38865248227,14321.7591170825,10278.8192382182,15730.6331417625,8181.18518518519
14060.0171745152,12437.4789915966,14566.5127436282,18532.6518928901,6426.58637469586,11846.6271072151,10454.1245283019,6677.24776119403,9480.14109050028,13065.9377104377,9875.31007751938,6671.03804347826,11768.0859419465,11212.4827343199,8374.44988864143,10479.7341513292,13267.9680729761,6449.4368737475,6423.24964539007,14090.1833013436,10117.686249193,15338.4808429119,7638.0873015873
13733.9739612188,12017.2016806723,14468.5922038981,17995.025854109,6447.32360097324,10429.1105866487,9650.84905660377,6663.84328358209,8902.62956717257,11870.4124579125,9203.17312661499,6642.03369565217,11710.1826977803,11111.8780831572,8616.63251670379,8311.38036809816,12403.69327252,6464.02404809619,6413.74397163121,13760.0518234165,9836.44867656553,15239.3074712644,7779.82804232804
13682.3412742382,12486.9495798319,14604.0464767616,17930.5521698984,6423.35888077859,11722.5360755226,10492.0037735849,6664.65074626866,9224.14333895447,9932.54545454545,6648.37467700258,6650.58804347826,10997.1912350598,10947.6758280479,8366.54677060134,9093.44785276074,12794.2964652223,6439.26653306613,6407.78865248227,13651.3483685221,9884.03227888961,14980.2078544061,7326.65079365079
14069.0149584488,12014.0476190476,14357.8770614693,18359.5771006464,6425.79318734793,10999.8287255563,9534.59245283019,6679.98507462687,9390.27431141091,9826.25084175084,8020.27131782946,6649.01304347826,11156.9157655094,10560.6412966878,8035.35968819599,10666.0081799591,13237.3295324971,6443.02004008016,6404.68085106383,13393.7005758157,9796.78566817302,14604.9760536398,7190.65608465608
13631.2997229917,11907.3333333333,14661.3628185907,18160.6731301939,6438.10340632603,11909.7673634525,10626.7169811321,6674.58208955224,9044.93479482856,9666.41919191919,6640.12144702842,6657.35869565217,11160.4911781446,10699.1550387597,8485.73162583519,8797.8527607362,12579.9429874572,6452.51903807615,6411.24964539007,13351.6314779271,9779.97740477728,14756.1829501916,7470.28835978836
14718.5191135734,12641.5546218487,15418.11994003,18861.02677747,6543.71776155718,11572.2110586649,10809.8188679245,6668.09402985075,9085.44238336144,10757.7087542088,9965.28940568475,6673.65543478261,11931.8582811611,10738.3284002819,8635.5556792873,8122.45603271984,12413.0205245154,6432.03006012024,6426.87021276596,13258.0038387716,9568.45513234345,14849.3084291188,7728.5873015873
14065.1878116343,11757.1260504202,14611.7796101949,18359.5558633426,6433.78223844282,10645.230613621,10002.6339622642,6691.83582089552,9265.26812816189,10282.2424242424,6665.6511627907,6681.68043478261,11634.4945930563,10688.4334038055,8662.01670378619,8490.06134969325,12808.6750285063,6471.62324649299,6428.53475177305,13311.9424184261,9615.38153647514,14964.2346743295,7824.31481481481
13629.5534626039,12376.8487394958,14830.5847076462,19007.3536472761,6458.24209245742,11003.4625758597,10016.6301886792,6661.24776119403,9300.24901630129,9534.61447811448,7702.46253229974,6664.30434782609,10936.7046101309,10552.6300211416,8341.54231625835,8141.96523517382,12646.8415051311,6449.6873747495,6408.76453900709,13122.5825335893,9567.42543576501,14853.7318007663,7544.2671957672
14119.708033241,11919.0532212885,14124.6701649175,18510.1597414589,6447.99756690998,11081.194200944,9536.36226415094,6688.65074626866,9212.34345137718,10259.1548821549,8757.36950904393,6670.87717391304,11698.0204894707,10253.9802677942,8085.14587973274,8172.80572597137,12491.2371721779,6450.76553106212,6418.87446808511,12898.0441458733,9585.03034215623,14515.841954023,7174.26984126984
13443.6227146814,11720.5154061625,14062.3583208396,17530.0332409972,6463.81143552311,10775.1220498989,11735.8830188679,6690.05671641791,9143.32321528949,10306.7929292929,8976.27906976744,6674.63695652174,10990.9607285145,10240.4467935166,8217.21380846325,8559.45194274029,12587.1140250855,6430.84168336673,6425.89645390071,12905.3291746641,9573.00258231117,14430.1369731801,7097.19576719577
13691.3307479224,11096.5910364146,14324.6551724138,16884.3896583564,6423.60827250608,9493.87727579231,10573.5094339623,6666.21492537313,9044.08712759977,9317.0101010101,8409.68992248062,6648.99782608696,12365.952760387,10330.6279069767,7844.89977728285,9596.94887525562,12412.0228050171,6446.35270541082,6404.39574468085,12980.7428023033,9523.63589412524,14109.1293103448,6735.56878306878
14423.6764542936,11723.487394958,15079.6236881559,16970.5512465374,6436.55596107056,9835.79366149697,10085.479245283,6678.81492537313,9141.36987071388,8577.73400673401,6650.71834625323,6665.53586956522,11622.1946499715,10258.1035940803,7701.25723830735,10514.7914110429,12736.3956670468,6432.77354709419,6425.94326241135,12958.2111324376,9527.50742414461,13842.4511494253,6512.2037037037
14010.9650969529,11317.593837535,15019.0704647676,17165.7377654663,6420.91119221411,10538.8556979096,9827.09056603774,6663.63432835821,9047.95671725689,9186.94107744108,6648.24031007752,6664.44673913044,11430.4923164485,10338.3058491896,7971.53006681514,8900.98977505112,11966.4652223489,6434.68136272545,6426.91489361702,12835.0998080614,9558.7462879277,14080.2863984674,6576.61904761905
13401.1833795014,11123.3557422969,14662.0344827586,16897.7239150508,6424.7798053528,10490.850303439,9377.35471698113,6656.57462686567,9104.02473299607,9352.27609427609,7394.65891472868,6640.13152173913,11815.7854297097,10255.8576462297,7885.32962138085,10351.4867075665,12466.6556442417,6455.53907815631,6408.18014184397,12849.9884836852,9579.85151710781,13953.2432950192,6528.0582010582
14197.0930747922,11817.9551820728,14983.4407796102,18569.4367497692,7076.02798053528,10812.0869858395,10614.7622641509,6661.34328358209,8836.77740303541,8310.25420875421,6638.52713178295,6661.0847826087,11262.5321570859,10307.754756871,8249.76837416481,8114.12065439673,12181.8118586089,6434.69739478958,6392.55177304965,12676.4232245681,9345.34473854099,14188.4971264368,6499.8544973545
14600.0155124654,11946.7142857143,14978.6506746627,17992.6241920591,6435.26277372263,10377.4356035064,10286.0150943396,6659.85820895522,8930.09612141653,7776.90235690236,6647.17829457364,6656.08695652174,11345.8804780876,10523.3594080338,8340.17817371938,9322.28220858896,12764.9965792474,6467.57114228457,6403.09858156028,13042.9721689059,9388.02324080052,14113.4588122605,6519.07671957672
13072.6498614958,10535.4957983193,14288.2143928036,16123.4016620499,6402.66301703163,9479.72151045179,10231.7056603774,6655.60149253731,8644.49409780776,8940.89057239057,7814.14728682171,6636.03695652174,10683.389869095,10297.5877378436,8353.13919821826,8827.57464212679,12515.6054732041,6432.53907815631,6417.62269503546,12591.1161228407,9155.26081342802,13993.0756704981,6529.3544973545
13448.163434903,10775.268907563,14593.3313343328,16826.5189289012,6448.46472019465,9651.46999325691,9933.27547169811,6668.98656716418,8822.78695896571,9481.00505050505,6612.35142118863,6650.4347826087,11302.0364257257,10151.5553206483,7927.20267260579,10619.6850715746,13034.3603192702,6418.48897795591,6400.05390070922,12642.5249520154,9214.2627501614,13765.5210727969,6515.28571428571
13785.4797783934,10034.0616246499,14759.0044977511,15416.5383194829,6438.09245742092,9245.94538098449,10659.9622641509,6667.85970149254,8755.72287802136,9178.3468013468,6630.21447028424,7302.34891304348,10647.0347182698,10096.9140239605,7936.37973273942,9876.24539877301,12615.7377423033,6434.26853707415,6429.90638297872,12347.9280230326,9109.35054874112,13756.561302682,6507.07671957672
14463.6903047091,10656.731092437,14902.8215892054,16386.5253924284,6425.53527980535,10673.5873229939,11156.641509434,6692.38358208955,8763.70432827431,8178.97474747475,6654.2480620155,6682.85326086957,10367.187250996,10128.4334038055,7787.74610244989,9861.94069529652,12707.3557582668,6448.29258517034,6432.99078014184,12396.4798464491,9156.09360877986,13700.408045977,6514.16666666667
15068.312465374,10364.5910364146,15040.5577211394,16063.8134810711,6447.36739659367,9875.85637221848,10112.3283018868,6664.36865671642,8535.54243957279,7550.0404040404,6673.54780361757,6681.18804347826,10299.656232214,9927.32205778717,7609.48663697105,9733.37627811861,12569.6738882554,6451.25250501002,6413.47092198582,12320.6928982726,9070.29954809555,13252.0555555556,6542.42857142857
12905.0315789474,9554.26890756303,14008.6566716642,15076.3767313019,6447.83454987835,9002.29399865138,8906.57358490566,6654.51044776119,8463.43788645306,7991.28114478114,7472.28682170543,6652.42065217391,10238.0113830393,9820.43410852713,7630.09799554566,8473.0327198364,12245.3181299886,6451.99799599198,6421.53758865248,12042.8848368522,8947.32020658489,13294.1312260536,6560.62962962963
12430.3130193906,9147.13445378151,13487.796101949,14360.7433056325,6435.72749391727,8345.63991908294,8366.92075471698,6669.24776119403,8278.83192804947,6707.65656565657,6680.0,6699.49130434783,10115.31303358,9545.42776603242,7405.82962138085,8123.18200408998,12060.2371721779,6437.30661322645,6410.39361702128,11766.6353166987,8770.06262104584,13129.6130268199,6541.39682539683
12446.8476454294,8779.48459383753,13717.5952023988,14613.0932594645,6432.36861313869,9168.7923128793,9772.67924528302,6648.3223880597,8025.38336143901,6742.83501683502,6645.74677002584,6657.04239130435,10095.0142287991,9507.96899224806,7245.35857461025,7127.39877300614,11508.4823261117,6451.85170340681,6409.87659574468,11543.8579654511,8601.78889606197,12925.8295019157,6563.06084656085
11350.2038781163,8345.10084033613,13390.8605697151,13770.4570637119,6426.79927007299,9135.07687120701,9401.4,6671.55223880597,7877.44294547499,7851.56228956229,6617.24289405685,6634.38804347826,10315.2384746727,9385.42353770261,6736.80066815145,8299.22290388548,11655.8437856328,6430.32665330661,6421.90425531915,11571.0595009597,8534.01484828922,12532.3946360153,6528.4417989418
11464.5263157895,8574.89355742297,12718.7856071964,12655.1117266851,6461.2700729927,8154.38975050573,9299.48679245283,6623.63432835821,7779.59921304103,7201.70202020202,6619.47803617571,6662.36304347826,9284.25213431986,9400.32346723044,6548.21826280624,9360.97137014315,11945.7730900798,6410.61723446894,6384.61418439716,11615.9270633397,8485.63718528083,12391.280651341,6516.1455026455
11977.0986149584,8877.87394957983,12908.3763118441,13884.3961218837,6452.88929440389,8997.45583277141,9869.4641509434,6669.15223880597,7625.41933670601,6701.82154882155,6641.01033591731,6664.7,9560.83096186682,9378.06553911205,6442.29732739421,9562.67075664622,11817.4743443558,6447.41883767535,6409.52340425532,11530.4184261036,8401.64299548096,12256.8994252874,6507.3835978836
11685.0210526316,8633.98039215686,13152.4137931034,13733.757156048,6422.62165450122,8327.42953472691,9519.75094339623,6655.75223880597,7573.68915120854,6689.4696969697,6625.40051679587,6646.18260869565,9111.90381331816,9429.28964059197,6619.25723830735,9410.88957055215,11644.2554161916,6458.32264529058,6426.39787234043,11437.8253358925,8221.42285345384,12265.9204980843,6533.2962962963
11148.4443213296,7823.3081232493,13216.5697151424,13922.7082179132,6471.26642335766,8916.28523263655,9356.96226415094,6626.6,7435.83361439011,6667.15656565657,6615.34625322997,6650.18369565217,9372.30961866819,9507.20648343904,6625.24276169265,9739.78936605317,11873.1174458381,6418.49498997996,6396.15177304965,11657.7178502879,8250.06778566817,12073.8189655172,6525.34656084656
11707.8088642659,8115.92717086835,13215.4692653673,13623.2954755309,6411.70681265207,8530.07080242751,8756.16603773585,6643.85820895522,7404.44238336144,6648.52525252525,6600.39793281654,6629.14347826087,9513.27091633466,9378.26920366455,6524.34187082405,9468.21063394683,11821.0387685291,6454.13426853707,6435.32836879433,11343.5969289827,8152.10845706908,12044.5067049808,6511.69312169312
11226.9711911357,7189.59663865546,12910.8305847076,13263.6528162512,6427.37347931874,8676.14565070802,9480.44905660377,6656.48507462687,7367.66722878021,6631.49158249158,6576.60723514212,6618.4152173913,9426.61240751281,9417.2015503876,6335.33741648107,9966.41308793456,11929.9384264538,6424.93987975952,6419.68581560284,11444.1209213052,8241.47320852163,12015.933908046,6480.52380952381
11262.2393351801,7391.29411764706,13223.3193403298,13270.2317636196,6438.24939172749,9142.06473364801,9451.27924528302,6646.17462686567,7252.2849915683,6696.21885521886,6646.20930232558,6662.68695652174,8743.06317586796,9094.37420718816,6313.26948775056,10264.8425357873,12081.6659064994,6418.78957915832,6406.73617021277,11019.2495201536,8176.40542285345,11605.8362068966,6464.93121693122
11320.5988919668,7585.78991596639,12543.5187406297,13268.297322253,6438.25060827251,7906.61766689144,8911.50943396226,6672.7552238806,7138.01517706577,6655.50168350168,6601.73126614987,6640.49130434783,8720.29652817302,9008.68851303735,6333.1859688196,10041.4764826176,12170.7331812999,6451.71743486974,6422.55744680851,11009.2562380038,7976.6061975468,11580.6618773946,6534.00793650794
10904.2559556787,6968.44257703081,12771.9895052474,12763.6528162512,6457.33941605839,8129.44706675657,9034.12830188679,6650.03134328358,7158.47723440135,6696.58754208754,6645.98708010336,6675.14130434783,9232.83266932271,8906.318534179,6326.0868596882,9508.56646216769,12022.7730900798,6424.78356713427,6398.59078014184,10833.1247600768,7939.23628147192,11625.8659003831,6483.66137566138
