Condition,Number,Cell,DutyCycle,On/Off,RawNorm_AvgAmplitude,FoldChange_AvgAmplitude,RawNorm_PeakAmplitude,FoldChange_PeakAmplitude,NumOscillations
wt,12,Beta,0.485294118,1,4996.298861,1.765236783,11108.91126,2.701448963,9
wt,13,Beta,0,0,148.2501854,1.02392608,1933.416141,1.312033804,1
wt,14,Beta,0,0,6432.141162,1.237783454,11622.82029,1.429672529,12
wt,15,Beta,0,0,4716.828191,1.124338964,7262.408997,1.191442295,2
wt,16,Beta,0.367647059,1,4954.79314,1.547108414,14362.4645,2.585903782,2
wt,17,Beta,0.485294118,1,1190.847849,1.191483998,3845.688889,1.618372771,6
wt,18,Beta,0.544117647,1,7407.394512,1.716813104,18446.03171,2.785021335,5
wt,19,Beta,0.352941176,1,3598.702288,1.436349047,10357.38725,2.255851608,11
wt,20,Beta,0.25,1,544.023524,1.085549233,3322.85192,1.522527832,8
wt,21,Beta,0.25,1,388.0774116,1.062162976,2548.504866,1.408224347,4
wt,22,Beta,0.426470588,1,6657.244366,1.779123983,16156.02536,2.890804384,7
wt,23,Beta,0.485294118,1,4676.053729,1.435608319,9565.601307,1.891105138,13
wt,24,Beta,0.426470588,1,1447.679007,1.226669215,5071.8941,1.794127874,13
wt,25,Beta,0.25,1,565.6473799,1.090268803,3867.133188,1.617136217,4
wt,26,Beta,0.514705882,1,3272.758958,1.43018459,6604.508015,1.868123075,13
wt,27,Beta,0.558823529,1,5438.555392,1.495479666,11392.27001,2.037892921,12
wt,1,Delta,0,0,2605.179032,1.164328816,5179.969101,1.326740764,1
wt,2,Delta,0.397058824,1,2334.745549,1.367690911,5261.740286,1.828653075,17
wt,3,Delta,0,0,59.5894996,1.009492471,105.2873303,1.01677203,14
wt,1,Beta,0.427083333,1,4876.810682,1.512411644,10995.57673,2.155316849,5
wt,2,Beta,0.520833333,1,5217.489496,1.799557584,11661.26331,2.787037907,0
wt,3,Beta,0,0,2694.929051,1.23529446,5906.922039,1.515733812,12
wt,4,Beta,0.520833333,1,7874.182181,1.812749434,15080.15051,2.556527841,1
wt,5,Beta,0.395833333,1,997.976252,1.155868933,4827.615572,1.754001196,6
wt,6,Beta,0.5,1,4439.333713,1.692351672,10243.05529,2.597491183,4
wt,7,Beta,0.479166667,1,3252.52952,1.457633805,6740.524528,1.948397815,15
wt,8,Beta,0,0,49.40873981,1.007465584,96.54925373,1.014588443,26
wt,9,Beta,0,0,1419.720288,1.210194867,3375.06914,1.499691534,2
wt,10,Beta,0.385416667,1,6323.683396,1.953583868,24122.46296,4.637562178,1
wt,11,Beta,0.479166667,1,1093.294654,1.166239919,6917.935401,2.051900342,16
wt,12,Beta,0,0,278.5860847,1.042092567,2047.606522,1.309380185,10
wt,13,Beta,0.489583333,1,4321.089161,1.604009554,8812.186682,2.23178318,2
wt,14,Beta,0,0,3134.055608,1.419738362,5930.459479,1.794255642,0
wt,1,Delta,0,0,1863.312252,1.295142201,4286.041203,1.678894068,1
wt,2,Delta,0,0,1977.170852,1.312314355,4402.06544,1.695351253,15
wt,3,Delta,0,0,1833.703746,1.166581245,3888.541619,1.353251231,7
wt,4,Delta,0,0,50.50023759,1.007900124,118.6432866,1.018560243,29
wt,5,Delta,0,0,50.91519339,1.008002663,108.1631206,1.017000681,24
wt,6,Delta,0,0,4356.093041,1.496140383,8071.682342,1.919330127,0
wt,7,Delta,0.484536082,1,3080.049237,1.473550743,6097.954164,1.937546936,0
wt,8,Delta,0.494845361,1,4127.706166,1.390718948,8649.010536,1.818694976,1
wt,9,Delta,0.402061856,1,871.9362898,1.134871704,3450.37037,1.533705658,6
